Bowler_Id,total_runs_conceded,balls_bowled,economy_rate,Player_Name
196,14.0,481,0.17463617463617462,A Singh
198,0.0,187,0.0,AB McDonald
199,6.0,71,0.5070422535211268,Y Nagar
201,42.0,2299,0.1096128751631144,R Ashwin
206,13.0,106,0.7358490566037735,Jaskaran Singh
209,0.0,139,0.0,R Sathish
210,26.0,359,0.43454038997214484,R McLaren
211,0.0,85,0.0,AA Jhunjhunwala
213,1.0,36,0.16666666666666666,A Uniyal
215,9.0,210,0.2571428571428571,YA Abdulla
217,4.0,44,0.5454545454545455,JM Kemp
218,13.0,212,0.36792452830188677,S Tyagi
219,0.0,6,0.0,RS Gavaskar
220,1.0,186,0.03225806451612903,SE Bond
221,21.0,1223,0.10302534750613246,KA Pollard
222,3.0,139,0.12949640287769784,S Ladda
223,32.0,652,0.29447852760736193,DP Nannes
226,1.0,106,0.056603773584905655,S Narwal
228,4.0,330,0.07272727272727272,Bipul Sharma
229,0.0,12,0.0,FY Fazal
230,0.0,54,0.0,AC Voges
232,83.0,1685,0.29554896142433235,UT Yadav
233,10.0,225,0.26666666666666666,J Theron
234,4.0,283,0.08480565371024736,SJ Srivastava
235,9.0,930,0.05806451612903226,R Sharma
238,36.0,506,0.42687747035573126,SW Tait
240,1.0,49,0.12244897959183675,KAJ Roach
241,0.0,89,0.0,PD Collingwood
242,13.0,157,0.4968152866242038,CK Langeveldt
243,10.0,207,0.2898550724637681,VS Malik
244,26.0,298,0.5234899328859061,A Mithun
245,3.0,67,0.26865671641791045,AP Dole
246,38.0,349,0.6532951289398281,AN Ahmed
248,25.0,582,0.25773195876288657,DE Bollinger
249,0.0,18,0.0,S Sriram
253,7.0,321,0.1308411214953271,MR Marsh
254,0.0,43,0.0,AJ Finch
255,5.0,504,0.05952380952380952,STR Binny
256,13.0,559,0.13953488372093023,Harmeet Singh
258,8.0,482,0.09958506224066391,DT Christian
259,1.0,96,0.0625,RV Gomez
261,0.0,39,0.0,AUK Pathan
265,1.0,18,0.3333333333333333,NJ Rimmington
266,0.0,110,0.0,AL Menaria
267,28.0,578,0.2906574394463668,WD Parnell
268,7.0,74,0.5675675675675675,JJ van der Wath
269,0.0,36,0.0,R Ninan
270,15.0,577,0.1559792027729636,S Aravind
273,10.0,102,0.5882352941176471,SB Wagh
274,5.0,319,0.09404388714733543,AC Thomas
275,8.0,155,0.3096774193548387,JEC Franklin
276,11.0,908,0.07268722466960352,Shakib Al Hasan
278,0.0,174,0.0,S Randiv
280,19.0,705,0.16170212765957448,NLTC Perera
281,1.0,30,0.2,NL McCullum
282,11.0,118,0.559322033898305,JE Taylor
283,1.0,194,0.03092783505154639,J Syed Mohammad
284,0.0,81,0.0,RN ten Doeschate
286,9.0,264,0.20454545454545456,AG Murtaza
290,0.0,6,0.0,I Malhotra
291,1.0,42,0.14285714285714285,L Ablish
293,12.0,1015,0.07093596059113301,S Nadeem
294,7.0,157,0.267515923566879,P Parameswaran
296,24.0,735,0.19591836734693877,VR Aaron
297,4.0,254,0.09448818897637795,AA Chavan
298,0.0,56,0.0,ND Doshi
299,47.0,1680,0.16785714285714284,B Kumar
300,0.0,6,0.0,Y Gnaneswara Rao
301,0.0,16,0.0,S Rana
302,4.0,297,0.08080808080808081,BA Bhatt
303,0.0,6,0.0,F du Plessis
305,3.0,210,0.08571428571428572,GJ Maxwell
306,0.0,2,0.0,SPD Smith
307,0.0,201,0.0,MN Samuels
308,0.0,6,0.0,SA Yadav
309,17.0,587,0.1737649063032368,KK Cooper
310,44.0,1084,0.24354243542435425,JP Faulkner
311,21.0,663,0.19004524886877827,HV Patel
312,0.0,25,0.0,DAJ Bracewell
313,0.0,18,0.0,DJ Harris
314,1.0,357,0.01680672268907563,Ankit Sharma
315,35.0,1582,0.1327433628318584,SP Narine
316,6.0,462,0.07792207792207792,GB Hogg
317,0.0,12,0.0,RR Bhatkal
318,0.0,42,0.0,CJ McKay
321,9.0,552,0.09782608695652174,Azhar Mahmood
322,8.0,433,0.11085450346420322,P Negi
323,0.0,48,0.0,RJ Peterson
324,0.0,106,0.0,KMDN Kulasekara
325,3.0,268,0.06716417910447761,A Ashish Reddy
326,0.0,211,0.0,V Pratap Singh
328,0.0,66,0.0,MJ Clarke
329,0.0,78,0.0,Gurkeerat Singh
332,0.0,54,0.0,K Upadhyay
333,21.0,764,0.1649214659685864,P Awana
334,23.0,637,0.21664050235478807,AD Russell
335,0.0,234,0.0,A Chandila
337,0.0,19,0.0,Sunny Gupta
340,0.0,36,0.0,GH Vihari
342,12.0,129,0.5581395348837209,R Shukla
343,0.0,45,0.0,B Laughlin
344,5.0,92,0.32608695652173914,AS Rajpoot
346,11.0,708,0.09322033898305085,JD Unadkat
347,23.0,471,0.2929936305732484,Mohammed Shami
348,0.0,30,0.0,BMAJ Mendis
349,10.0,272,0.22058823529411764,R Rampaul
350,34.0,826,0.24697336561743344,CH Morris
352,0.0,193,0.0,SMSM Senanayake
353,0.0,6,0.0,BJ Rohrer
356,17.0,492,0.2073170731707317,R Dhawan
357,43.0,1006,0.25646123260437376,MG Johnson
358,1.0,71,0.08450704225352113,LJ Wright
359,24.0,464,0.3103448275862069,IC Pandey
362,8.0,238,0.20168067226890757,DJG Sammy
363,6.0,317,0.11356466876971609,KW Richardson
364,19.0,1264,0.09018987341772153,MM Sharma
366,2.0,198,0.06060606060606061,Parvez Rasool
367,51.0,943,0.3244962884411453,Sandeep Sharma
368,12.0,209,0.34449760765550236,S Kaul
369,0.0,10,0.0,Sachin Baby
370,13.0,660,0.11818181818181818,PV Tambe
371,29.0,397,0.4382871536523929,NM Coulter-Nile
372,4.0,132,0.18181818181818182,CJ Anderson
374,33.0,963,0.205607476635514,AR Patel
375,21.0,690,0.1826086956521739,JJ Bumrah
376,5.0,54,0.5555555555555556,JDS Neesham
377,17.0,601,0.16971713810316139,TG Southee
378,38.0,583,0.3910806174957118,MA Starc
381,0.0,114,0.0,Shivam Sharma
382,18.0,931,0.11600429645542429,YS Chahal
383,0.0,18,0.0,LMP Simmons
385,0.0,91,0.0,BCJ Cutting
386,9.0,434,0.12442396313364056,Imran Tahir
387,6.0,151,0.23841059602649006,BE Hendricks
388,1.0,115,0.05217391304347826,S Gopal
389,4.0,112,0.21428571428571427,M de Lange
390,0.0,72,0.0,R Tewatia
391,20.0,219,0.547945205479452,JO Holder
392,2.0,204,0.058823529411764705,Karanveer Singh
