Player_Id,Player_Name,total_runs,balls_faced,boundaries,strike_rate,boundary_percentage,total_runs_conceded,balls_bowled,economy_rate,all_rounder_index,Is_Keeper,Country,wickets,Team_Name,Role
17,PA Patel,1927.0,1752.0,275.0,109.98858447488584,15.69634703196347,,,,,0,India,0,Kochi Tuskers Kerala,Batsman
17,PA Patel,1927.0,1752.0,275.0,109.98858447488584,15.69634703196347,,,,,0,India,0,Deccan Chargers,Batsman
17,PA Patel,1927.0,1752.0,275.0,109.98858447488584,15.69634703196347,,,,,0,India,0,Sunrisers Hyderabad,Batsman
17,PA Patel,1927.0,1752.0,275.0,109.98858447488584,15.69634703196347,,,,,0,India,0,Mumbai Indians,Batsman
17,PA Patel,1927.0,1752.0,275.0,109.98858447488584,15.69634703196347,,,,,0,India,0,Royal Challengers Bangalore,Batsman
17,PA Patel,1927.0,1752.0,275.0,109.98858447488584,15.69634703196347,,,,,1,India,0,Chennai Super Kings,Wicketkeeper
17,PA Patel,1927.0,1752.0,275.0,109.98858447488584,15.69634703196347,,,,,1,India,0,Kochi Tuskers Kerala,Wicketkeeper
17,PA Patel,1927.0,1752.0,275.0,109.98858447488584,15.69634703196347,,,,,1,India,0,Deccan Chargers,Wicketkeeper
17,PA Patel,1927.0,1752.0,275.0,109.98858447488584,15.69634703196347,,,,,1,India,0,Sunrisers Hyderabad,Wicketkeeper
17,PA Patel,1927.0,1752.0,275.0,109.98858447488584,15.69634703196347,,,,,1,India,0,Mumbai Indians,Wicketkeeper
17,PA Patel,1927.0,1752.0,275.0,109.98858447488584,15.69634703196347,,,,,1,India,0,Royal Challengers Bangalore,Wicketkeeper
18,ML Hayden,1107.0,839.0,165.0,131.94278903456495,19.66626936829559,,,,,0,Australia,0,Chennai Super Kings,Batsman
19,MEK Hussey,1977.0,1648.0,250.0,119.96359223300972,15.169902912621358,,,,,0,Australia,0,Chennai Super Kings,Batsman
19,MEK Hussey,1977.0,1648.0,250.0,119.96359223300972,15.169902912621358,,,,,0,Australia,0,Mumbai Indians,Batsman
20,MS Dhoni,3270.0,2419.0,376.0,135.17982637453494,15.543613063249277,,,,,1,India,0,Chennai Super Kings,Wicketkeeper
20,MS Dhoni,3270.0,2419.0,376.0,135.17982637453494,15.543613063249277,,,,,1,India,0,Rising Pune Supergiants,Wicketkeeper
20,MS Dhoni,3270.0,2419.0,376.0,135.17982637453494,15.543613063249277,,,,,0,India,0,Chennai Super Kings,Batsman
20,MS Dhoni,3270.0,2419.0,376.0,135.17982637453494,15.543613063249277,,,,,0,India,0,Rising Pune Supergiants,Batsman
21,SK Raina,4106.0,3059.0,521.0,134.2268715266427,17.031709709055246,20.0,831.0,0.1444043321299639,413.3634357633214,0,India,22,Chennai Super Kings,Batsman
21,SK Raina,4106.0,3059.0,521.0,134.2268715266427,17.031709709055246,20.0,831.0,0.1444043321299639,413.3634357633214,0,India,22,Gujarat Lions,Batsman
22,JDP Oram,106.0,110.0,11.0,96.36363636363636,10.0,14.0,240.0,0.35,191.03896103896105,0,New Zealand,9,Chennai Super Kings,All-Rounder
22,JDP Oram,106.0,110.0,11.0,96.36363636363636,10.0,14.0,240.0,0.35,191.03896103896105,0,New Zealand,9,Rajasthan Royals,All-Rounder
22,JDP Oram,106.0,110.0,11.0,96.36363636363636,10.0,14.0,240.0,0.35,191.03896103896105,0,New Zealand,9,Mumbai Indians,All-Rounder
23,S Badrinath,1441.0,1245.0,182.0,115.7429718875502,14.61847389558233,,,,,0,India,0,Chennai Super Kings,Batsman
24,K Goel,218.0,239.0,26.0,91.21338912133892,10.87866108786611,1.0,66.0,0.0909090909090909,595.6066945606694,0,India,0,Kings Xi Punjab,Batsman
25,JR Hopes,417.0,314.0,60.0,132.80254777070064,19.10828025477707,14.0,360.0,0.2333333333333333,280.6869881710646,0,Australia,14,Kings Xi Punjab,Bowler
25,JR Hopes,417.0,314.0,60.0,132.80254777070064,19.10828025477707,14.0,360.0,0.2333333333333333,280.6869881710646,0,Australia,14,Delhi Daredevils,Bowler
26,KC Sangakkara,1687.0,1424.0,222.0,118.4691011235955,15.589887640449437,,,,,1,Sri Lanka,0,Kings Xi Punjab,Wicketkeeper
26,KC Sangakkara,1687.0,1424.0,222.0,118.4691011235955,15.589887640449437,,,,,1,Sri Lanka,0,Deccan Chargers,Wicketkeeper
26,KC Sangakkara,1687.0,1424.0,222.0,118.4691011235955,15.589887640449437,,,,,1,Sri Lanka,0,Sunrisers Hyderabad,Wicketkeeper
26,KC Sangakkara,1687.0,1424.0,222.0,118.4691011235955,15.589887640449437,,,,,0,Sri Lanka,0,Kings Xi Punjab,Batsman
26,KC Sangakkara,1687.0,1424.0,222.0,118.4691011235955,15.589887640449437,,,,,0,Sri Lanka,0,Deccan Chargers,Batsman
26,KC Sangakkara,1687.0,1424.0,222.0,118.4691011235955,15.589887640449437,,,,,0,Sri Lanka,0,Sunrisers Hyderabad,Batsman
27,Yuvraj Singh,2339.0,1862.0,308.0,125.61761546723952,16.541353383458645,14.0,847.0,0.0991735537190082,566.9754744002864,0,India,30,Kings Xi Punjab,All-Rounder
27,Yuvraj Singh,2339.0,1862.0,308.0,125.61761546723952,16.541353383458645,14.0,847.0,0.0991735537190082,566.9754744002864,0,India,30,Pune Warriors,All-Rounder
27,Yuvraj Singh,2339.0,1862.0,308.0,125.61761546723952,16.541353383458645,14.0,847.0,0.0991735537190082,566.9754744002864,0,India,30,Delhi Daredevils,All-Rounder
27,Yuvraj Singh,2339.0,1862.0,308.0,125.61761546723952,16.541353383458645,14.0,847.0,0.0991735537190082,566.9754744002864,0,India,30,Sunrisers Hyderabad,All-Rounder
27,Yuvraj Singh,2339.0,1862.0,308.0,125.61761546723952,16.541353383458645,14.0,847.0,0.0991735537190082,566.9754744002864,0,India,30,Royal Challengers Bangalore,All-Rounder
28,SM Katich,237.0,191.0,33.0,124.08376963350784,17.277486910994764,,,,,0,Australia,0,Kings Xi Punjab,Batsman
29,IK Pathan,1148.0,982.0,126.0,116.90427698574337,12.830957230142568,48.0,2039.0,0.1412457086807258,412.4451940484272,0,India,69,Kings Xi Punjab,All-Rounder
29,IK Pathan,1148.0,982.0,126.0,116.90427698574337,12.830957230142568,48.0,2039.0,0.1412457086807258,412.4451940484272,0,India,69,Delhi Daredevils,All-Rounder
29,IK Pathan,1148.0,982.0,126.0,116.90427698574337,12.830957230142568,48.0,2039.0,0.1412457086807258,412.4451940484272,0,India,69,Rising Pune Supergiants,All-Rounder
29,IK Pathan,1148.0,982.0,126.0,116.90427698574337,12.830957230142568,48.0,2039.0,0.1412457086807258,412.4451940484272,0,India,69,Sunrisers Hyderabad,All-Rounder
31,YK Pathan,2779.0,1953.0,374.0,142.29390681003585,19.150025601638504,28.0,1110.0,0.1513513513513513,401.5040962621608,0,India,36,Rajasthan Royals,All-Rounder
31,YK Pathan,2779.0,1953.0,374.0,142.29390681003585,19.150025601638504,28.0,1110.0,0.1513513513513513,401.5040962621608,0,India,36,Kolkata Knight Riders,All-Rounder
