Batsman_Id,total_runs,balls_faced,boundaries,strike_rate,boundary_percentage,Player_Name
1,1349.0,1326,179,101.73453996983409,13.499245852187029,SC Ganguly
2,2435.0,1954,354,124.61617195496417,18.11668372569089,BB McCullum
3,91.0,129,7,70.54263565891473,5.426356589147287,RT Ponting
4,1322.0,1101,150,120.07266121707538,13.623978201634879,DJ Hussey
5,64.0,84,9,76.19047619047619,10.714285714285714,Mohammad Hafeez
6,2170.0,1918,296,113.13868613138686,15.43274244004171,R Dravid
7,130.0,129,17,100.7751937984496,13.178294573643413,W Jaffer
8,4105.0,3236,508,126.85414091470952,15.698393077873918,V Kohli
9,2427.0,2291,299,105.93627237014405,13.051069402007856,JH Kallis
10,971.0,774,114,125.45219638242895,14.728682170542637,CL White
11,394.0,318,45,123.89937106918238,14.150943396226415,MV Boucher
12,76.0,57,10,133.33333333333331,17.543859649122805,B Akhil
14,332.0,314,39,105.73248407643312,12.420382165605096,P Kumar
15,113.0,128,13,88.28125,10.15625,Z Khan
17,1927.0,1752,275,109.98858447488584,15.69634703196347,PA Patel
18,1107.0,839,165,131.94278903456495,19.66626936829559,ML Hayden
19,1977.0,1648,250,119.96359223300972,15.169902912621358,MEK Hussey
20,3270.0,2419,376,135.17982637453494,15.543613063249277,MS Dhoni
21,4106.0,3059,521,134.2268715266427,17.031709709055246,SK Raina
22,106.0,110,11,96.36363636363636,10.0,JDP Oram
23,1441.0,1245,182,115.74297188755021,14.61847389558233,S Badrinath
24,218.0,239,26,91.21338912133892,10.87866108786611,K Goel
25,417.0,314,60,132.80254777070064,19.10828025477707,JR Hopes
26,1687.0,1424,222,118.4691011235955,15.589887640449437,KC Sangakkara
27,2339.0,1862,308,125.61761546723953,16.541353383458645,Yuvraj Singh
28,237.0,191,33,124.08376963350784,17.277486910994764,SM Katich
29,1148.0,982,126,116.90427698574337,12.830957230142568,IK Pathan
31,2779.0,1953,374,142.29390681003585,19.150025601638504,YK Pathan
32,2553.0,1869,372,136.59711075441413,19.903691813804173,SR Watson
33,259.0,258,28,100.3875968992248,10.852713178294573,M Kaif
35,1574.0,1340,165,117.46268656716418,12.313432835820896,RA Jadeja
36,55.0,70,5,78.57142857142857,7.142857142857142,M Rawat
37,33.0,24,5,137.5,20.833333333333336,D Salunkhe
38,198.0,219,20,90.41095890410958,9.1324200913242,SK Warne
39,42.0,61,4,68.85245901639344,6.557377049180328,SK Trivedi
40,3634.0,3028,473,120.01321003963012,15.620871862615587,G Gambhir
41,2728.0,1833,440,148.82705946535734,24.004364429896345,V Sehwag
42,3082.0,2622,410,117.54385964912282,15.636918382913805,S Dhawan
43,34.0,37,7,91.8918918918919,18.91891891891892,L Ronchi
44,768.0,573,123,134.03141361256544,21.465968586387437,ST Jayasuriya
45,39.0,54,4,72.22222222222221,7.4074074074074066,DJ Thornely
