Batsman_Id,total_runs,balls_faced,boundaries,strike_rate,boundary_percentage,Player_Name_batting,Bowler_Id,total_runs_conceded,balls_bowled,economy_rate,Player_Name_bowling,all_rounder_index
1,1349.0,1326,179,101.73453996983409,13.499245852187029,SC Ganguly,1,5.0,277,0.10830324909747292,SC Ganguly,512.5339366515838
4,1322.0,1101,150,120.07266121707538,13.623978201634879,DJ Hussey,4,7.0,318,0.1320754716981132,DJ Hussey,438.60775917996625
5,64.0,84,9,76.19047619047619,10.714285714285714,Mohammad Hafeez,5,4.0,61,0.3934426229508197,Mohammad Hafeez,165.17857142857142
8,4105.0,3236,508,126.85414091470952,15.698393077873918,V Kohli,8,16.0,257,0.3735408560311284,V Kohli,197.2812371240214
9,2427.0,2291,299,105.93627237014405,13.051069402007856,JH Kallis,9,51.0,1765,0.173371104815864,JH Kallis,341.36682899552954
10,971.0,774,114,125.45219638242895,14.728682170542637,CL White,10,0.0,44,0.0,CL White,inf
12,76.0,57,10,133.33333333333331,17.543859649122805,B Akhil,12,6.0,189,0.19047619047619047,B Akhil,329.16666666666663
14,332.0,314,39,105.73248407643312,12.420382165605096,P Kumar,14,66.0,2451,0.16156670746634028,P Kumar,362.3359390079135
15,113.0,128,13,88.28125,10.15625,Z Khan,15,55.0,1971,0.167427701674277,Z Khan,342.7769886363636
21,4106.0,3059,521,134.2268715266427,17.031709709055246,SK Raina,21,20.0,831,0.1444043321299639,SK Raina,413.3634357633214
22,106.0,110,11,96.36363636363636,10.0,JDP Oram,22,14.0,240,0.35,JDP Oram,191.03896103896105
24,218.0,239,26,91.21338912133892,10.87866108786611,K Goel,24,1.0,66,0.09090909090909091,K Goel,595.6066945606694
25,417.0,314,60,132.80254777070064,19.10828025477707,JR Hopes,25,14.0,360,0.23333333333333334,JR Hopes,280.6869881710646
27,2339.0,1862,308,125.61761546723953,16.541353383458645,Yuvraj Singh,27,14.0,847,0.09917355371900827,Yuvraj Singh,566.9754744002864
29,1148.0,982,126,116.90427698574337,12.830957230142568,IK Pathan,29,48.0,2039,0.14124570868072586,IK Pathan,412.4451940484272
31,2779.0,1953,374,142.29390681003585,19.150025601638504,YK Pathan,31,28.0,1110,0.15135135135135136,YK Pathan,401.5040962621608
32,2553.0,1869,372,136.59711075441413,19.903691813804173,SR Watson,32,75.0,1717,0.262085032032615,SR Watson,259.0763331549848
